name,rating,numberofbik,WatchthisMonth,asian restaurant,italian restaurant,gril restaurant,mediterranean restaurant,chef restaurant,sitting outside,smoke area,sea food,coffe shop,delivery,burger shop,online order,Converted_Kosher,Price_Convert
156,7.7,306,97,0,0,1,0,0,0,0,0,0,0,0,0,1,0
157,7.4,806,458,0,1,0,0,0,0,0,0,1,1,0,0,1,1
159,7.9,347,157,0,1,0,0,0,1,0,0,1,0,0,0,1,1
160,8.6,1119,228,0,0,0,0,0,0,0,0,1,0,0,0,0,1
161,7.1,20,656,0,0,1,0,0,1,1,0,0,1,1,0,1,1
163,8.7,1419,900,0,0,1,0,0,0,1,0,0,0,0,0,0,1
164,7.8,301,206,1,0,0,0,0,1,1,0,0,1,0,1,1,1
165,8.6,205,476,0,0,1,0,0,0,0,0,0,0,0,0,0,1
166,8.1,1923,159,0,1,0,0,0,1,1,0,1,0,0,1,1,1
167,8.8,367,388,0,0,1,0,0,0,0,0,0,0,0,0,0,1
169,7.8,737,310,1,0,0,0,0,1,1,0,0,1,0,1,0,1
170,8.3,3187,202,1,0,0,0,0,0,0,0,0,1,0,1,1,1
171,8.3,83,313,1,0,0,0,0,1,1,0,0,1,0,0,0,1
172,7.5,25,149,0,0,1,0,0,1,1,0,0,0,0,0,0,1
175,8.1,8,382,0,0,1,0,0,1,1,0,0,1,0,0,1,1
176,8.6,2221,721,0,0,1,0,0,1,1,0,0,1,0,1,1,0
177,7.9,833,391,1,0,1,0,0,1,1,0,0,1,0,1,1,1
179,8.1,41,172,0,0,0,0,0,1,1,0,1,1,0,0,0,1
180,8.7,2032,569,1,0,0,0,0,1,1,0,0,1,0,1,1,1
181,9.0,3351,1499,1,0,0,0,0,0,0,0,0,1,0,1,1,1
182,8.0,251,227,0,0,1,0,0,0,0,0,0,1,0,1,1,1
183,9.2,6052,1667,1,0,0,0,0,1,0,0,0,1,0,1,0,1
185,8.3,694,602,0,0,0,0,0,1,1,0,1,1,0,1,0,1
186,8.6,286,148,0,0,1,0,0,0,0,0,0,0,0,0,1,0
187,7.9,246,174,0,0,1,0,0,0,0,0,0,1,1,0,1,1
188,7.1,1223,136,0,0,0,0,0,0,1,0,1,0,0,0,1,1
189,7.8,919,193,0,0,1,0,0,1,1,0,0,0,0,0,0,1
191,7.9,129,679,0,1,0,0,0,0,0,0,1,1,0,1,1,1
193,8.1,566,704,1,0,1,0,0,1,0,0,0,1,0,1,1,1
195,7.9,369,293,0,0,0,0,0,0,0,0,1,1,0,1,1,1
196,7.2,76,193,1,0,0,0,0,0,0,0,0,1,0,1,0,1
197,8.6,77,216,0,0,1,0,0,0,0,0,0,1,0,1,1,0
198,8.4,1190,420,0,0,1,0,0,0,0,0,0,0,0,0,0,1
199,8.2,1374,546,0,0,1,0,0,1,1,0,0,1,0,1,1,1
202,8.3,407,113,0,1,0,0,0,0,1,0,1,1,0,0,1,1
203,6.8,55,262,0,1,0,0,0,1,1,0,1,1,0,0,1,1
204,8.8,1105,552,0,1,0,0,0,0,1,0,1,0,0,0,1,1
205,7.9,132,516,0,0,0,0,0,0,0,0,1,0,0,0,0,1
206,7.6,1723,1089,0,0,1,0,0,0,0,0,0,0,0,0,0,1
207,8.2,233,1594,0,1,0,0,0,1,0,0,1,1,0,1,1,1
208,8.1,209,739,1,0,0,0,0,1,1,0,0,1,0,1,1,1
209,7.6,142,148,0,1,0,0,0,1,0,0,0,1,0,1,1,0
211,8.3,2028,386,0,1,0,0,0,1,0,0,1,1,0,1,1,1
212,9.1,1682,1601,0,0,0,0,0,1,1,0,0,1,1,1,1,1
213,9.1,1682,1601,0,0,0,0,0,1,1,0,0,1,1,1,1,1
214,8.2,164,476,0,0,0,0,0,1,0,0,1,1,0,1,0,1
215,8.5,157,196,0,0,1,0,0,1,1,0,1,0,1,1,0,1
216,8.9,2801,1321,0,0,1,0,0,0,0,0,0,0,0,0,0,1
217,7.7,989,354,0,0,1,0,0,1,1,0,0,1,0,1,1,1
218,7.8,710,270,1,0,0,0,0,0,0,0,0,1,0,1,1,1
219,8.1,16,56,0,0,1,0,0,0,0,0,0,0,0,0,1,1
220,8.0,2821,1104,0,0,0,0,0,0,0,0,1,0,0,0,0,1
223,7.6,58,212,0,0,0,0,0,0,0,0,1,0,0,0,1,1
224,8.6,954,1090,0,0,1,0,0,1,1,0,0,1,1,1,0,1
226,8.0,1295,148,1,0,0,0,0,1,1,0,0,1,0,1,0,1
228,8.6,1492,274,0,0,1,0,0,1,1,0,0,0,0,0,1,1
229,8.6,1727,483,0,1,0,0,0,0,0,0,1,1,0,1,1,1
230,8.6,3693,672,1,0,0,0,0,0,0,0,0,1,0,1,0,1
231,8.1,4108,900,0,0,1,0,0,1,1,0,0,1,1,1,0,1
232,9.1,2532,872,0,1,0,0,0,1,1,0,0,1,0,0,0,1
233,7.3,1184,349,0,1,0,0,0,1,1,0,1,1,0,1,1,1
234,7.5,543,286,1,0,0,0,0,0,0,0,0,1,0,0,1,1
236,7.1,1995,218,1,0,0,0,0,1,0,0,0,1,0,1,0,1
237,8.2,2292,1017,0,1,0,0,0,1,1,0,0,1,0,1,1,1
238,7.9,932,112,0,0,0,0,0,1,0,0,1,1,0,0,0,1
239,8.9,2321,1968,0,0,1,0,0,0,1,0,1,1,0,1,0,1
240,9.0,1516,315,0,1,1,0,0,1,1,0,0,0,0,0,0,1
241,8.4,92,1077,0,1,0,0,0,1,1,0,0,0,0,1,1,1
242,8.8,879,734,0,1,0,0,0,1,0,0,0,1,0,0,1,1
243,7.5,817,202,1,1,0,0,0,1,1,0,0,1,0,1,1,0
244,8.3,551,367,0,0,1,0,0,1,0,0,1,0,0,0,1,1
245,8.2,1106,545,0,0,1,0,0,0,0,0,0,1,0,1,1,1
246,8.4,4664,737,1,0,0,0,0,1,1,0,0,1,0,1,0,1
247,7.7,5019,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1
248,8.3,916,405,1,0,0,0,0,0,0,0,0,1,0,1,0,1
249,8.7,11,1041,1,0,0,0,0,1,1,0,0,1,0,1,1,1
250,8.3,37,182,0,1,0,0,0,1,0,0,0,1,0,0,0,1
251,8.5,1919,638,0,0,1,0,0,0,1,0,0,1,0,1,1,1
252,7.8,18,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1
