name,rating,numberofbik,price,WatchthisMonth,Kosher,Address,asian restaurant,italian restaurant,gril restaurant,mediterranean restaurant,chef restaurant,sitting outside,smoke area,sea food,coffe shop,delivery,burger shop,online order,City,Street,Converted_Kosher,Price_Convert
אושי אושי,8.5,1144,מחיר סביר,358,כשר,"קניון גבעתיים, גבעתיים",1,1,0,0,0,0,0,0,0,1,0,1,גבעתיים,קניון גבעתיים,1,1
אינגליש קייק,8.2,101,מחיר סביר,64,כשר,"שדרות החוצבים, מבשרת ציון",0,1,0,0,0,0,0,0,1,1,0,0,מבשרת ציון,שדרות החוצבים,1,1
אצה סושי בר,8.3,34,מחיר סביר,773,כשר,"דרך הגליל 1, ראש פינה",1,0,0,0,0,0,1,0,0,1,0,0,ראש פינה,דרך הגליל 1,1,1
מלה ביסטרו,8.4,2891,מחיר סביר,862,לא כשר,"המעיין 1, ירושלים",0,0,0,1,1,1,1,1,0,1,1,1,ירושלים,המעיין 1,0,1
לה לונה,8.5,52,מחיר סביר,638,לא כשר,הגושרים,0,1,0,0,0,1,0,0,0,0,0,0,הגושרים,0,0,1
Wasaki,8.4,89,מחיר סביר,731,לא כשר,"מעלה המסגד 1, מעלות תרשיחא (כיכר הכפר)",1,0,0,0,0,1,1,0,0,1,0,0,מעלות תרשיחא ,מעלה המסגד 1,0,1
בר איטליה,8.9,676,מחיר יקר,1538,לא כשר,"שדרות עובד בן עמי 113, נתניה",0,1,0,0,1,0,0,0,0,1,0,1,נתניה,שדרות עובד בן עמי 113,0,2
בלה וצ'ארלי,8.8,356,מחיר סביר,1820,כשר,"אלומים, תנובות",0,0,1,0,0,1,0,0,0,1,1,1,תנובות,אלומים,1,1
סושי בר,8.4,1413,מחיר סביר,358,לא כשר,"סוקולוב 111, רמת השרון",1,0,0,0,0,1,1,0,0,1,0,1,רמת השרון,סוקולוב 111,0,1
טאבון ומסעדת עמאשה,8.5,748,מחיר זול,323,לא כשר,"שכונת ח'אלת חמדאן, עיספיא",0,0,1,0,0,1,1,0,0,0,0,0,עיספיא,שכונת ח'אלת חמדאן,0,0
אומה,8.1,693,מחיר סביר,885,לא כשר,"צומת גומא, אזור עמק חולה",1,0,1,1,0,0,0,0,0,0,0,0,אזור עמק חולה,צומת גומא,0,1
קפה גרג,6.8,440,מחיר סביר,148,כשר,"עופר גרנד קניון, באר שבע",0,0,0,0,0,0,0,0,1,0,0,0,באר שבע,עופר גרנד קניון,1,1
פיצה סלייס Pizza Slice,8.4,247,מחיר סביר,303,כשר,"החלוץ 14, חדרה",0,1,0,0,0,1,1,0,0,1,0,1,חדרה,החלוץ 14,1,1
קניבר בורגר,8.6,1926,מחיר סביר,315,לא כשר,"שדרות מוריה 110, חיפה",0,0,1,0,0,1,1,0,0,1,1,1,חיפה,שדרות מוריה 110,0,1
נימוס Nemos,8,9,מחיר סביר,280,לא כשר,ירכא,1,1,0,1,1,0,1,1,0,1,0,0,ירכא,0,0,1
מיט בר,9,7324,מחיר סביר,1936,לא כשר,"הסדנאות 4, הרצליה",0,0,1,0,0,1,1,0,0,1,1,1,הרצליה,הסדנאות 4,0,1
פיאטו,8.5,5431,מחיר סביר,1205,לא כשר,"חיים פקריס 2, רחובות",0,1,0,0,0,1,1,0,0,1,0,1,רחובות,חיים פקריס 2,0,1
שפילד,9.1,3200,מחיר סביר,600,לא כשר,"דרך מאיר וייסגל 2, רחובות",0,0,1,0,0,1,0,0,0,1,0,1,רחובות,דרך מאיר וייסגל 2,0,1
יאן יאן,8.5,2188,מחיר סביר,432,לא כשר,"דרך העצמאות 84, חיפה",1,0,0,0,0,1,1,0,0,1,0,1,חיפה,דרך העצמאות 84,0,1
טורטוגה,8.2,1098,מחיר סביר,370,לא כשר,"דוד אלעזר, חיפה",1,1,1,1,1,1,1,1,1,0,0,0,חיפה,דוד אלעזר,0,1
סיאול האוס,8.2,469,מחיר סביר,153,לא כשר,"חב""ד 34, ירושלים",1,0,0,0,0,0,0,0,0,0,0,0,ירושלים,"חב""ד 34",0,1
Vamos Amos,7.9,1809,מחיר סביר,785,לא כשר,"סנטר הגליל, ראש פינה",0,0,1,0,0,1,1,1,0,0,1,0,ראש פינה,סנטר הגליל,0,1
מסעדת אבו עומר,8.9,214,מחיר זול,439,לא כשר,"סחלב, רמת ישי",0,0,1,0,0,0,1,0,0,1,0,0,רמת ישי,סחלב,0,0
הלוחש לבצק,8.6,16,מחיר סביר,259,לא כשר,"התבור 16, אורנית",0,1,0,0,0,0,0,0,0,1,0,0,אורנית,התבור 16,0,1
מעלה עשן,8.3,37,מחיר סביר,0,כשר,סנסנה,0,0,1,0,0,0,0,0,0,0,0,0,סנסנה,0,1,1
קפה לנדוור,8.8,2594,מחיר סביר,550,לא כשר,"השייטת 4, נס ציונה",0,1,0,0,0,0,0,0,1,1,0,1,נס ציונה,השייטת 4,0,1
הסושיה,7.6,1309,מחיר סביר,132,לא כשר,"דרך בן גוריון 71, בת ים",1,0,0,0,0,1,0,0,0,1,0,1,בת ים,דרך בן גוריון 71,0,1
קפה גרג,7.8,589,מחיר זול,157,כשר,"שדרות יצחק רבין 18, עפולה (עמק סנטר)",0,0,0,0,0,1,1,0,1,0,0,0,עפולה ,שדרות יצחק רבין 18,1,0
מיזו Mizu sushi bar,6.6,62,מחיר סביר,929,כשר,"הטיילת, ראשון לציון",1,1,0,0,0,1,1,0,0,0,0,0,ראשון לציון,הטיילת,1,1
